职位月薪,工作地点,工作性质,工作经验,最低学历,招聘人数,职位类别,公司规模,公司性质,公司行业
10001-15000元/月,北京,全职,3-5年,本科,1人,数据分析师,1000-9999人,上市公司,互联网/电子商务
6001-8000元/月,佛山,全职,1-3年,本科,1人,数据分析师,1000-9999人,上市公司,互联网/电子商务
面议,北京-朝阳区,全职,1-3年,本科,1人,数据分析师,10000人以上,民营,基金/证券/期货/投资
8000-10000元/月,上海,全职,不限,本科,1人,数据分析师,1000-9999人,民营,零售/批发
面议,北京,全职,1-3年,本科,2人,数据分析师,10000人以上,民营,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,1人,股票/期货操盘手,20-99人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,8人,基金项目经理,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-丰台区,全职,不限,大专,8人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
15001-20000元/月,北京,全职,不限,大专,3人,其他,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,5人,股票/期货操盘手,20-99人,股份制企业,基金/证券/期货/投资
6001-8000元/月,南京,全职,不限,大专,2人,股票/期货操盘手,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-丰台区,全职,不限,硕士,6人,资产评估,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,10人,股票/期货操盘手,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,南京,全职,不限,大专,3人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,本科,8人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,5人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,本科,10人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
4001-6000元/月,贵阳,全职,无经验,大专,6人,互联网软件工程师,500-999人,股份制企业,计算机软件
10001-15000元/月,北京,全职,不限,大专,6人,招聘专员/助理,100-499人,合资,基金/证券/期货/投资
6001-8000元/月,北京-东城区,全职,不限,不限,6人,行政专员/助理,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,10人,大堂经理/领班,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,6人,银行客户服务,100-499人,合资,基金/证券/期货/投资
6001-8000元/月,北京,全职,无经验,本科,10人,实习生,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,3人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
4001-6000元/月,西安,全职,无经验,大专,4人,软件工程师,1000-9999人,上市公司,互联网/电子商务
6001-8000元/月,北京-东城区,全职,不限,不限,5人,行政专员/助理,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,6人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
4001-6000元/月,西安,全职,1年以下,大专,5人,软件工程师,1000-9999人,上市公司,互联网/电子商务
